TEMP4539;6.5;44.5
TEMP4609;-1;44
TEMP4610;-0.5;44
TEMP4611;0;44
TEMP4612;0.5;44
TEMP4613;1;44
TEMP4614;1.5;44
TEMP4615;2;44
TEMP4616;2.5;44
TEMP4617;3;44
TEMP4618;3.5;44
TEMP4619;4;44
TEMP4620;4.5;44
TEMP4621;5;44
TEMP4622;5.5;44
TEMP4623;6;44
TEMP4624;6.5;44
TEMP4625;7;44
TEMP4626;7.5;44
TEMP4693;-1.5;43.5
TEMP4694;-1;43.5
TEMP4695;-0.5;43.5
TEMP4696;0;43.5
TEMP4697;0.5;43.5
TEMP4698;1;43.5
TEMP4699;1.5;43.5
TEMP4700;2;43.5
TEMP4701;2.5;43.5
TEMP4702;3;43.5
TEMP4703;3.5;43.5
TEMP4705;4.5;43.5
TEMP4706;5;43.5
TEMP4707;5.5;43.5
TEMP4708;6;43.5
TEMP4709;6.5;43.5
TEMP4710;7;43.5
TEMP4780;-0.5;43
TEMP4781;0;43
TEMP4782;0.5;43
TEMP4783;1;43
TEMP4784;1.5;43
TEMP4785;2;43
TEMP4786;2.5;43
TEMP4787;3;43
TEMP4870;2;42.5
TEMP4871;2.5;42.5
TEMP4872;3;42.5
